"Ctl","Disease"
"MMRS54246132ST.27.0.0","MMRS18295921ST.27.0.0"
"MMRS94549160ST.27.0.0","MMRS85382779ST.27.0.0"
"MMRS34569532ST.27.0.0","MMRS77487595ST.27.0.0"
"MMRS11932626ST.27.0.0","MMRS14602194ST.27.0.0"
"MMRS65862658ST.27.0.0","MMRS43939546ST.27.0.0"
"MMRS61683006ST.27.0.0","MMRS12272136ST.27.0.0"
"MMRS39582183ST.27.0.0","MMRS54316675ST.27.0.0"
"MMRS64281551ST.27.0.0","MMRS34525504ST.27.0.0"
"MMRS62666492ST.27.0.0","MMRS44587603ST.27.0.0"
"MMRS17963147ST.27.0.0","MMRS51410669ST.27.0.0"
"MMRS91297590ST.27.0.0","MMRS25641480ST.27.0.0"
"MMRS88581325ST.27.0.0","MMRS55294627ST.27.0.0"
"MMRS95277876ST.27.0.0","MMRS90191266ST.27.0.0"
"MMRS81135225ST.27.0.0","MMRS67247116ST.27.0.0"
"MMRS95479054ST.27.0.0","MMRS86958796ST.27.0.0"
"MMRS87723283ST.27.0.0","MMRS84954772ST.27.0.0"
"MMRS33294861ST.27.0.0","MMRS71762412ST.27.0.0"
"MMRS93621581ST.27.0.0","MMRS93508324ST.27.0.0"
"MMRS29805707ST.27.0.0","MMRS16644320ST.27.0.0"
"MMRS20257302ST.27.0.0","MMRS96422329ST.27.0.0"
"MMRS17603756ST.27.0.0","MMRS62376181ST.27.0.0"
"MMRS68630931ST.27.0.0","MMRS31306426ST.27.0.0"
"MMRS21365932ST.27.0.0","MMRS78791111ST.27.0.0"
"MMRS25211151ST.27.0.0","MMRS65205033ST.27.0.0"
"MMRS57276462ST.27.0.0","MMRS77018926ST.27.0.0"
"MMRS73787048ST.27.0.0","MMRS72802364ST.27.0.0"
"MMRS35808664ST.27.0.0","MMRS81671217ST.27.0.0"
"MMRS38861560ST.27.0.0","MMRS41266697ST.27.0.0"
"MMRS40913371ST.27.0.0","MMRS14379078ST.27.0.0"
"MMRS51737257ST.27.0.0","MMRS86178473ST.27.0.0"
"MMRS92546335ST.27.0.0","MMRS81194191ST.27.0.0"
"MMRS32573774ST.27.0.0","MMRS43563715ST.27.0.0"
"MMRS95674036ST.27.0.0","MMRS92544445ST.27.0.0"
"MMRS11288076ST.27.0.0","MMRS15137911ST.27.0.0"
"MMRS84085284ST.27.0.0","MMRS80093644ST.27.0.0"
"MMRS39415781ST.27.0.0","MMRS24340226ST.27.0.0"
"MMRS85548821ST.27.0.0","MMRS97052561ST.27.0.0"
