"Ctl","Disease"
"SZAXPI015250.39","SZAXPI003435.11"
"SZAXPI015231.17","SZAXPI017467.87"
"SZAXPI015246.34","SZAXPI015224.13"
"SZAXPI015263.84","SZAXPI017593.158"
"SZAXPI015235.21","SZAXPI017588.123"
"SZAXPI015243.31","SZAXPI017590.136"
"SZAXPI015262.79","SZAXPI003412.1"
"SZAXPI015245.33","SZAXPI015220.136"
"SZAXPI015260.74","SZAXPI017595.169"
"SZAXPI015244.32","SZAXPI003426.11"
"SZAXPI015255.46","SZAXPI017462.33"
"SZAXPI015242.30","SZAXPI017586.111"
"SZAXPI015251.41","SZAXPI015218.16"
"SZAXPI017591.140","SZAXPI015213.15"
"SZAXPI015252.43","SZAXPI017458.25"
"SZAXPI015241.27","SZAXPI017594.166"
"SZAXPI015227.13","SZAXPI015223.158"
"SZAXPI015268.109","SZAXPI017454.20"
"SZAXPI015240.26","SZAXPI017463.36"
"SZAXPI003433.7","SZAXPI003427.1"
"SZAXPI017592.142","SZAXPI003424.12"
"SZAXPI015273.95","SZAXPI003422.11"
"SZAXPI015264.87","SZAXPI015226.14"
"SZAXPI015247.35","SZAXPI017580.90"
"SZAXPI015269.94","SZAXPI017468.88"
"SZAXPI015261.75","SZAXPI017583.102"
"SZAXPI015230.16","SZAXPI017452.17"
"SZAXPI015253.44","SZAXPI017466.84"
"SZAXPI015271.93","SZAXPI015210.17"
"SZAXPI015258.57","SZAXPI017457.24"
"SZAXPI015228.14","SZAXPI017582.94"
"SZAXPI015274.111","SZAXPI003437.3"
"SZAXPI015254.45","SZAXPI015221.142"
"SZAXPI015212.113","SZAXPI017587.113"
"SZAXPI015249.37","SZAXPI015225.18"
"SZAXPI015256.47","SZAXPI015222.123"
"SZAXPI003419.6","SZAXPI015237.23"
"SZAXPI015234.20","SZAXPI015216.169"
"SZAXPI015257.56","SZAXPI017585.109"
"SZAXPI015238.24","SZAXPI003415.12"
"SZAXPI015259.62","SZAXPI015215.20"
"SZAXPI015270.90","SZAXPI017464.37"
"SZAXPI003417.4","SZAXPI003418.8"
"SZAXPI003429.3","SZAXPI003421.5"
