"Species","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment"
"Fusobacterium_nucleatum",0.000170260484088267,0.000155961538461538,"0",0.0301167307692308,"0","VogtmannE_2016",0.000170260484088267,0.0801926880055737,"Nodiff"
"Porphyromonas_uenonis",0.000972806355078665,0,"0",0.0377711538461538,"0","VogtmannE_2016",0.000972806355078665,0.229095896621026,"Nodiff"
"Parvimonas_unclassified",0.00265972833410454,0.00222980769230769,"0",0.0689242307692308,"0","VogtmannE_2016",0.00265972833410454,0.35743425120592,"Nodiff"
"Gemella_morbillorum",0.00367618194683181,3.46153846153846e-06,"0",0.0322828846153846,"0","VogtmannE_2016",0.00367618194683181,0.35743425120592,"Nodiff"
"Clostridium_symbiosum",0.004374999093089,0.0613873076923077,"0.006265",0.148643076923077,"0.029015","VogtmannE_2016",0.004374999093089,0.35743425120592,"Nodiff"
"Peptostreptococcus_stomatis",0.00470118259533893,0.000303653846153846,"0",0.0215709615384615,"0","VogtmannE_2016",0.00470118259533893,0.35743425120592,"Nodiff"
"Porphyromonas_asaccharolytica",0.00531218632365486,0.00428269230769231,"0",0.641226730769231,"0","VogtmannE_2016",0.00531218632365486,0.35743425120592,"Nodiff"
"Escherichia_coli",0.00732391776208822,0.374689230769231,"0.013685",2.53343807692308,"0.105755","VogtmannE_2016",0.00732391776208822,0.431195658242944,"Nodiff"
"Enterobacter_cloacae",0.00851736624841642,0.175409615384615,"0",0.0370017307692308,"0","VogtmannE_2016",0.00851736624841642,0.445742167000459,"Nodiff"
"Bacteroidales_bacterium_ph8",0.0102054254164918,0.363083269230769,"0.20328",0.222350769230769,"0.067095","VogtmannE_2016",0.0102054254164918,0.453471525437832,"Nodiff"
"Campylobacter_ureolyticus",0.0123591888514422,0,"0",0.00218403846153846,"0","VogtmannE_2016",0.0123591888514422,0.453471525437832,"Nodiff"
"Ruminococcus_torques",0.0128932673782458,1.30854423076923,"0.979635",2.41499480769231,"1.4646","VogtmannE_2016",0.0128932673782458,0.453471525437832,"Nodiff"
"Anaerococcus_obesiensis",0.0133991184442267,3.46153846153846e-06,"0",0.00329807692307692,"0","VogtmannE_2016",0.0133991184442267,0.453471525437832,"Nodiff"
"Blautia_producta",0.0134789837709759,0.00467307692307692,"0",0.0123190384615385,"0","VogtmannE_2016",0.0134789837709759,0.453471525437832,"Nodiff"
"Ruminococcus_gnavus",0.0149126513532936,0.563192115384615,"0.01066",0.794235576923077,"0.11322","VogtmannE_2016",0.0149126513532936,0.468257252493419,"Nodiff"
"Anaerococcus_vaginalis",0.0203356039906009,2.42307692307692e-05,"0",0.0221634615384615,"0","VogtmannE_2016",0.0203356039906009,0.541008509839533,"Nodiff"
"Clostridium_bolteae",0.02262730443535,0.647181923076923,"0.081635",1.09874423076923,"0.286705","VogtmannE_2016",0.02262730443535,0.541008509839533,"Nodiff"
"Bacteroides_fragilis",0.0229961160663642,0.845654807692308,"0.139735",1.94885826923077,"0.409635","VogtmannE_2016",0.0229961160663642,0.541008509839533,"Nodiff"
"Streptococcus_gallolyticus",0.0231385456724483,0,"0",0.00208057692307692,"0","VogtmannE_2016",0.0231385456724483,0.541008509839533,"Nodiff"
"Alistipes_sp_HGB5",0.0250875958471886,0.160616923076923,"0",0.243475769230769,"0","VogtmannE_2016",0.0250875958471886,0.541008509839533,"Nodiff"
"Lachnospiraceae_bacterium_3_1_57FAA_CT1",0.0251668602324262,0.0401225,"0.002305",0.0978167307692308,"0.02096","VogtmannE_2016",0.0251668602324262,0.541008509839533,"Nodiff"
"Adlercreutzia_equolifaciens",0.0252700365530143,0.113328653846154,"0.043955",0.0379201923076923,"0.02274","VogtmannE_2016",0.0252700365530143,0.541008509839533,"Nodiff"
"Solobacterium_moorei",0.0398387827281229,0.00245884615384615,"0",0.0264284615384615,"0.000305","VogtmannE_2016",0.0398387827281229,0.594126592058315,"Nodiff"
"Streptococcus_constellatus",0.0426354468980025,5.55769230769231e-05,"0",0.00207673076923077,"0","VogtmannE_2016",0.0426354468980025,0.594126592058315,"Nodiff"
"Acidaminococcus_sp_HPA0509",0.0434317101015428,0,"0",0.201268269230769,"0","VogtmannE_2016",0.0434317101015428,0.594126592058315,"Nodiff"
"Anaerococcus_lactolyticus",0.0434317101015428,0,"0",0.000554230769230769,"0","VogtmannE_2016",0.0434317101015428,0.594126592058315,"Nodiff"
"Lactobacillus_sanfranciscensis",0.0434317101015428,0,"0",0.0010575,"0","VogtmannE_2016",0.0434317101015428,0.594126592058315,"Nodiff"
"Prevotella_intermedia",0.0434317101015428,0,"0",0.0173357692307692,"0","VogtmannE_2016",0.0434317101015428,0.594126592058315,"Nodiff"
"Pseudomonas_fragi",0.0434317101015428,0.00232846153846154,"0",0,"0","VogtmannE_2016",0.0434317101015428,0.594126592058315,"Nodiff"
"Alloscardovia_omnicolens",0.0439514402423371,0.00126288461538462,"0",0.000114615384615385,"0","VogtmannE_2016",0.0439514402423371,0.594126592058315,"Nodiff"
"Clostridium_clostridioforme",0.0441337037385686,0.0541853846153846,"0",0.806464230769231,"0.004625","VogtmannE_2016",0.0441337037385686,0.594126592058315,"Nodiff"
"Ruminococcus_lactaris",0.0448202525822765,0.694090192307692,"0.0346",0.433273653846154,"0.000865","VogtmannE_2016",0.0448202525822765,0.594126592058315,"Nodiff"
"Roseburia_hominis",0.0452040645095209,0.620894615384615,"0.3166",0.364733076923077,"0.139885","VogtmannE_2016",0.0452040645095209,0.594126592058315,"Nodiff"
"Peptostreptococcus_anaerobius",0.0473371352886075,2.71153846153846e-05,"0",0.00697807692307692,"0","VogtmannE_2016",0.0473371352886075,0.594126592058315,"Nodiff"
"Lachnospiraceae_bacterium_5_1_57FAA",0.0494899319489491,0.00568807692307692,"0",0.0171140384615385,"0","VogtmannE_2016",0.0494899319489491,0.594126592058315,"Nodiff"
"Oscillibacter_sp_KLE_1728",0.0574117883399932,0.0371028846153846,"0",0.0658403846153846,"0","VogtmannE_2016",0.0574117883399932,0.594126592058315,"Nodiff"
"Clostridiales_bacterium_1_7_47FAA",0.0674996756954511,0.0202221153846154,"0.00507",0.0370148076923077,"0.00917","VogtmannE_2016",0.0674996756954511,0.594126592058315,"Nodiff"
"Clostridium_hylemonae",0.0680256219826881,0.00837730769230769,"0",0.0110567307692308,"0","VogtmannE_2016",0.0680256219826881,0.594126592058315,"Nodiff"
"Bacteroides_ovatus",0.071176643835332,1.78781211538462,"0.39149",1.81707673076923,"0.094455","VogtmannE_2016",0.071176643835332,0.594126592058315,"Nodiff"
"Bacteroides_sp_2_1_22",0.0751174417851273,0.0759965384615385,"0",0.00660326923076923,"0","VogtmannE_2016",0.0751174417851273,0.594126592058315,"Nodiff"
"Clostridium_sp_L2_50",0.0773262242020949,0.390680384615385,"0",0.0322442307692308,"0","VogtmannE_2016",0.0773262242020949,0.594126592058315,"Nodiff"
"Parvimonas_micra",0.0773262242020949,0.000372692307692308,"0",0.00446865384615385,"0","VogtmannE_2016",0.0773262242020949,0.594126592058315,"Nodiff"
"Citrobacter_freundii",0.0819025239785574,0.00687173076923077,"0",0.000579807692307692,"0","VogtmannE_2016",0.0819025239785574,0.594126592058315,"Nodiff"
"Campylobacter_gracilis",0.0822667000855503,0,"0",0.00191538461538462,"0","VogtmannE_2016",0.0822667000855503,0.594126592058315,"Nodiff"
"Comamonas_unclassified",0.0822667000855503,0.000108653846153846,"0",0,"0","VogtmannE_2016",0.0822667000855503,0.594126592058315,"Nodiff"
"Haemophilus_influenzae",0.0822667000855503,0,"0",0.0004925,"0","VogtmannE_2016",0.0822667000855503,0.594126592058315,"Nodiff"
"Lautropia_mirabilis",0.0822667000855503,0.000604038461538462,"0",0,"0","VogtmannE_2016",0.0822667000855503,0.594126592058315,"Nodiff"
"Porphyromonas_somerae",0.0822667000855503,0,"0",0.121824038461538,"0","VogtmannE_2016",0.0822667000855503,0.594126592058315,"Nodiff"
"Prevotella_timonensis",0.0822667000855503,0,"0",0.00384442307692308,"0","VogtmannE_2016",0.0822667000855503,0.594126592058315,"Nodiff"
"Pyramidobacter_piscolens",0.0822667000855503,0,"0",0.00405961538461538,"0","VogtmannE_2016",0.0822667000855503,0.594126592058315,"Nodiff"
"Streptococcus_lutetiensis",0.0822667000855503,0,"0",0.0107032692307692,"0","VogtmannE_2016",0.0822667000855503,0.594126592058315,"Nodiff"
"Butyrivibrio_crossotus",0.0826015973375559,2.28741134615385,"5.5e-05",0.934050384615385,"0","VogtmannE_2016",0.0826015973375559,0.594126592058315,"Nodiff"
"Ruminococcus_champanellensis",0.0842717273027923,0.0754667307692308,"0",0.0186632692307692,"0","VogtmannE_2016",0.0842717273027923,0.594126592058315,"Nodiff"
"Enterobacter_aerogenes",0.0942927366682933,0.414959807692308,"0",0.00111442307692308,"0","VogtmannE_2016",0.0942927366682933,0.594126592058315,"Nodiff"
"Roseburia_unclassified",0.0946041776931959,0.0165319230769231,"0",0.183845961538462,"0","VogtmannE_2016",0.0946041776931959,0.594126592058315,"Nodiff"
"Bacteroides_intestinalis",0.0959910782409588,0.472029615384615,"0",0.0484434615384615,"0","VogtmannE_2016",0.0959910782409588,0.594126592058315,"Nodiff"
