"Species","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment"
"Peptostreptococcus_stomatis",8.43301045121663e-10,0.0581345283018868,"0",0.161462533333333,"0.00359","YuJ_2015",8.43301045121663e-10,4.09844307929128e-07,"CRC"
"Parvimonas_unclassified",1.9685728225404e-09,0.0440007547169811,"0",0.3320776,"0.00702","YuJ_2015",1.9685728225404e-09,4.78363195877317e-07,"CRC"
"Gemella_morbillorum",6.58331100088746e-08,0.012041320754717,"0",0.0902645333333333,"0.00288","YuJ_2015",6.58331100088746e-08,1.06649638214377e-05,"CRC"
"Parvimonas_micra",1.56399987767234e-07,0.00582811320754717,"0",0.0565992,"0.00017","YuJ_2015",1.56399987767234e-07,1.90025985137189e-05,"CRC"
"Fusobacterium_nucleatum",1.84454829840177e-06,0.00338509433962264,"0",0.0532654666666667,"0","YuJ_2015",1.84454829840177e-06,0.000179290094604652,"CRC"
"Solobacterium_moorei",3.70270566902955e-06,0.0146209433962264,"0",0.0580237333333333,"0.00338","YuJ_2015",3.70270566902955e-06,0.000281074134465398,"CRC"
"Clostridium_symbiosum",4.04839288324647e-06,0.0250584905660377,"0.00026",0.278135066666667,"0.04224","YuJ_2015",4.04839288324647e-06,0.000281074134465398,"CRC"
"Clostridium_hathewayi",7.9975423678635e-06,0.0553739622641509,"0.00471",0.132829333333333,"0.04004","YuJ_2015",7.9975423678635e-06,0.000485850698847708,"CRC"
"Eubacterium_ventriosum",0.0001842251308663,1.04916150943396,"0.36284",0.3229204,"0.01819","YuJ_2015",0.0001842251308663,0.0099481570667802,"Ctl"
"Peptostreptococcus_unclassified",0.000206558655283029,0.000244150943396226,"0",0.0209928,"0","YuJ_2015",0.000206558655283029,0.0100387506467552,"Nodiff"
"Porphyromonas_asaccharolytica",0.000282619307902619,0.0237743396226415,"0",0.0723858666666667,"0","YuJ_2015",0.000282619307902619,0.0124866348764248,"Nodiff"
"Ruminococcus_albus",0.000371222476973317,0.00339566037735849,"0",0.0013716,"0","YuJ_2015",0.000371222476973317,0.0150345103174193,"Nodiff"
"Clostridium_clostridioforme",0.000474549383000245,0.00502245283018868,"0",0.135838666666667,"0","YuJ_2015",0.000474549383000245,0.0177408461644707,"Nodiff"
"Faecalibacterium_prausnitzii",0.000582764406866694,8.81978188679245,"6.29466",5.33077213333333,"2.52877","YuJ_2015",0.000582764406866694,0.0202302501240867,"Nodiff"
"Clostridium_sp_ATCC_BAA_442",0.000798136796708202,0.00448094339622642,"0",0.273854133333333,"0","YuJ_2015",0.000798136796708202,0.0258596322133457,"Nodiff"
"Bacteroides_fragilis",0.000896074738337334,1.51651735849057,"0.02221",2.3580284,"0.37385","YuJ_2015",0.000896074738337334,0.0272182701769965,"Nodiff"
