"Species","Pvalue","Ctlmean","Ctlmedian","CRCmean","CRCmedian","Study","pvalue","adj.fdr.p","Enrichment"
"Fusobacterium_nucleatum",1.09979347970412e-06,8.04918032786885e-05,"0",0.0443235849056604,"0","ZellerG_2014",1.09979347970412e-06,0.000572992402925847,"CRC"
"Peptostreptococcus_stomatis",3.80823368886385e-06,0.000807049180327869,"0",0.27769,"0.00103","ZellerG_2014",3.80823368886385e-06,0.000992044875949033,"CRC"
"Ruminococcus_albus",0.000164250682131746,0.0019344262295082,"0.00014",0.00126188679245283,"0","ZellerG_2014",0.000164250682131746,0.0239132066326889,"Nodiff"
"Porphyromonas_asaccharolytica",0.000183594676642525,0.0013227868852459,"0",0.076002641509434,"0","ZellerG_2014",0.000183594676642525,0.0239132066326889,"Nodiff"
"Clostridium_hathewayi",0.000234964927176003,0.0132260655737705,"0.00253",0.37824641509434,"0.01319","ZellerG_2014",0.000234964927176003,0.0244833454117395,"Nodiff"
"Porphyromonas_somerae",0.000422519614926777,0,"0",0.0311422641509434,"0","ZellerG_2014",0.000422519614926777,0.0366887865628085,"Nodiff"
"Eubacterium_hallii",0.000551509129783801,1.7466206557377,"1.14831",0.878715849056604,"0.25504","ZellerG_2014",0.000551509129783801,0.0410480366596229,"Nodiff"
"Streptococcus_salivarius",0.000832811301824132,1.00610475409836,"0.15193",0.391995283018868,"0.05447","ZellerG_2014",0.000832811301824132,0.0490336163029054,"Nodiff"
"Parvimonas_micra",0.000857688897395432,0.00204196721311475,"0",0.104883962264151,"0","ZellerG_2014",0.000857688897395432,0.0490336163029054,"Nodiff"
"Lachnospiraceae_bacterium_5_1_63FAA",0.000941144266850391,0.343708852459016,"0.07389",0.116522830188679,"0.02008","ZellerG_2014",0.000941144266850391,0.0490336163029054,"Nodiff"
"Eubacterium_eligens",0.00105259016323689,2.40498491803279,"1.42158",0.985469622641509,"0.31358","ZellerG_2014",0.00105259016323689,0.0498544977314927,"Nodiff"
"Bifidobacterium_catenulatum",0.0011941123860155,0.36895,"0.00023",0.0558303773584906,"0","ZellerG_2014",0.0011941123860155,0.051844379426173,"Nodiff"
"Clostridium_symbiosum",0.00146710975980934,0.0208124590163934,"0",0.128572264150943,"0.0037","ZellerG_2014",0.00146710975980934,0.058797244989282,"Nodiff"
"Roseburia_intestinalis",0.00163807361188861,1.33606032786885,"0.42678",0.504655094339623,"0.03693","ZellerG_2014",0.00163807361188861,0.0603254745014599,"Nodiff"
"Eubacterium_ventriosum",0.00173681788391919,0.557894262295082,"0.3693",0.30347358490566,"0.02461","ZellerG_2014",0.00173681788391919,0.0603254745014599,"Nodiff"
"Eubacterium_rectale",0.00207538734684137,5.52334196721312,"4.33514",2.55535811320755,"0.47407","ZellerG_2014",0.00207538734684137,0.0675798004815221,"Nodiff"
"Streptococcus_sanguinis",0.00253388856661202,0.0244390163934426,"0.00697",0.0189911320754717,"0","ZellerG_2014",0.00253388856661202,0.0772487097825649,"Nodiff"
